,food_name,fdc_id,price_per_100_g,203,204,205,207,208,209,210,211,212,213,214,221,255,262,263,269,287,291,301,303,304,305,306,307,309,312,313,315,317,318,319,320,321,322,323,324,325,326,328,334,337,338,341,342,343,344,345,346,347,401,404,405,406,410,415,417,418,421,428,429,430,431,432,435,454,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,521,573,578,601,605,606,607,608,609,610,611,612,613,614,615,617,618,619,620,621,624,625,626,627,628,629,630,631,636,638,639,641,645,646,652,653,654,662,663,664,665,666,670,671,672,673,674,675,676,685,687,689,693,695,696,697,851,852,853,856,857,858
0,2% Milk,171267,0.08790939875482813,3.3,1.98,4.8,0.71,50.0,0.0,0.01,0.01,0.01,5.01,0.01,0.0,89.21,0.0,0.0,5.06,0.02,0.0,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,3.4,0.014,2.5,190.0,55.0,55.0,4.0,0.0,0.03,49.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.039,0.185,0.092,0.356,0.038,5.0,0.53,16.4,0.0,0.0,0.2,0.0,5.0,5.0,0.9,0.042,0.141,0.171,0.313,0.276,0.087,0.02,0.171,0.167,0.216,0.094,0.1,0.112,0.283,0.742,0.065,0.326,0.199,0.0,0.0,0.0,8.0,0.085,1.257,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.004,0.508,0.062,0.008,0.0,0.0,0.002,0.015,0.027,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.073,0.02,0.011,0.0,0.0,0.078,0.0,0.0,0.007,0.0,0.0,0.0,0.027,0.43,0.055,0.0,0.0,0.005,0.003,0.078,0.007,0.002,0.004,0.008,0.0,0.0,0.0,0.0,0.0
1,Almonds,170567,0.881849768073511,21.15,49.93,21.55,2.97,579.0,0.72,3.95,0.17,0.11,0.0,0.04,0.0,4.41,0.0,0.0,4.35,0.07,12.5,269.0,3.71,270.0,481.0,733.0,1.0,3.12,1.031,0.0,2.179,4.1,2.0,0.0,0.0,1.0,0.0,25.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23,0.64,0.07,0.0,0.0,0.0,0.0,0.0,0.205,1.138,3.618,0.471,0.137,44.0,0.0,52.1,0.0,0.0,0.0,0.0,44.0,44.0,0.5,0.211,0.601,0.751,1.473,0.568,0.157,0.215,1.132,0.45,0.855,2.465,0.539,0.999,2.639,6.206,1.429,0.969,0.912,0.0,0.0,0.0,0.0,0.015,3.802,0.0,0.0,0.0,0.0,0.0,0.003,3.083,0.704,0.007,31.294,12.324,0.003,0.0,0.0,0.001,0.0,0.239,0.0,0.005,0.0,0.0,0.0,0.0,4.0,5.0,130.0,31.551,12.329,0.0,0.004,0.0,0.012,0.0,0.0,0.003,0.0,0.002,0.0,0.002,0.227,31.294,12.32,0.0,0.0,0.013,0.0,0.012,0.003,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
2,American Cheese,171290,0.7613302997701312,18.13,31.79,3.7,6.78,371.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,39.61,0.0,0.0,2.26,0.11,0.0,1045.0,0.63,26.0,641.0,132.0,1671.0,2.49,0.046,35.0,0.041,20.2,945.0,243.0,250.0,80.0,0.0,0.8,23.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.13,0.04,0.02,0.02,0.03,0.08,0.0,0.015,0.234,0.076,0.403,0.054,8.0,1.5,36.2,0.0,0.0,2.6,0.0,8.0,8.0,0.0,0.232,0.772,0.938,1.716,1.516,0.475,0.11,0.939,0.916,1.187,0.518,0.546,0.613,1.551,4.073,0.359,1.788,1.093,0.0,0.0,0.0,100.0,1.144,18.057,0.615,0.509,0.332,0.802,0.884,2.937,8.161,3.222,0.047,7.204,1.003,0.138,0.045,0.006,0.021,0.245,0.5,0.007,0.224,0.012,0.001,0.021,0.0,0.0,0.0,0.0,8.236,1.286,0.311,0.19,0.009,0.106,0.844,0.0,0.194,0.0,0.018,0.001,0.009,0.394,6.36,0.79,0.001,0.001,0.061,0.034,0.95,0.194,0.0,0.0,0.137,0.001,0.033,0.0,0.0,0.008
3,Apples,171688,0.2270763152789291,0.26,0.17,13.81,0.19,52.0,0.05,2.07,2.43,5.9,0.0,0.0,0.0,85.56,0.0,0.0,10.39,0.0,2.4,6.0,0.12,5.0,11.0,107.0,1.0,0.04,0.027,3.3,0.035,0.0,54.0,0.0,3.0,27.0,0.0,0.18,0.0,0.0,0.0,0.0,11.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.017,0.026,0.091,0.061,0.041,3.0,0.0,3.4,0.0,0.0,2.2,0.0,3.0,3.0,0.1,0.001,0.006,0.006,0.013,0.012,0.001,0.001,0.006,0.001,0.012,0.006,0.005,0.011,0.07,0.025,0.009,0.006,0.01,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.001,0.024,0.003,0.0,0.007,0.043,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.007,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Asparagus,168389,0.7253214342404628,2.2,0.12,3.88,0.58,20.0,0.0,0.23,0.65,1.0,0.0,0.0,0.0,93.22,0.0,0.0,1.88,0.0,2.1,24.0,2.14,14.0,52.0,202.0,2.0,0.54,0.189,0.0,0.158,2.3,756.0,0.0,38.0,449.0,9.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.6,0.143,0.141,0.978,0.274,0.091,52.0,0.0,16.0,0.0,0.0,41.6,0.0,52.0,52.0,0.6,0.027,0.084,0.075,0.128,0.104,0.031,0.031,0.075,0.052,0.115,0.091,0.049,0.115,0.508,0.233,0.093,0.071,0.106,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Atlantic Salmon,175167,1.763699536147022,20.42,13.42,0.0,1.13,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.89,0.0,0.0,0.0,0.0,0.0,9.0,0.34,27.0,240.0,363.0,59.0,0.36,0.045,0.0,0.011,24.0,193.0,58.0,58.0,0.0,0.0,3.55,441.0,0.0,0.0,11.0,0.0,0.0,0.0,0.01,0.3,0.05,0.06,0.0,0.0,0.0,3.9,0.207,0.155,8.672,1.547,0.636,26.0,3.23,78.5,0.0,0.0,0.5,0.0,26.0,26.0,3.0,0.209,0.86,0.968,1.615,1.87,0.626,0.219,0.845,0.759,1.107,1.221,0.549,1.271,2.025,2.83,0.96,0.721,0.896,0.042,0.0,0.0,55.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.556,1.877,0.495,0.022,2.715,0.9,0.167,0.092,1.104,0.011,0.0,0.791,0.121,0.265,0.862,0.0,0.393,0.0,0.0,0.0,0.0,3.77,3.886,0.046,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.02,0.0,0.018,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0
6,Avocados,171705,0.3527399072294044,2.0,14.66,8.53,1.58,160.0,0.11,0.06,0.37,0.12,0.0,0.0,0.0,73.23,0.0,0.0,0.66,0.1,6.7,12.0,0.55,29.0,52.0,485.0,7.0,0.64,0.19,7.0,0.142,0.4,146.0,0.0,7.0,62.0,24.0,2.07,0.0,0.0,0.0,0.0,28.0,0.0,271.0,0.05,0.33,0.02,0.01,0.0,0.0,0.0,10.0,0.067,0.13,1.738,1.389,0.257,81.0,0.0,14.2,0.0,0.0,21.0,0.0,81.0,81.0,0.7,0.025,0.073,0.084,0.143,0.132,0.038,0.027,0.097,0.049,0.107,0.088,0.049,0.109,0.236,0.287,0.104,0.098,0.114,0.0,0.0,0.0,0.0,0.0,2.126,0.0,0.0,0.001,0.0,0.0,0.0,2.075,0.049,0.0,9.066,1.674,0.125,0.0,0.0,0.0,0.0,0.698,0.0,0.025,0.0,0.0,0.0,0.0,2.0,5.0,76.0,9.799,1.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.016,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0
7,Bananas,173944,0.1058219721688213,1.09,0.33,22.84,0.82,89.0,5.38,2.39,4.98,4.85,0.0,0.01,0.0,74.91,0.0,0.0,12.23,0.0,2.6,5.0,0.26,27.0,22.0,358.0,1.0,0.15,0.078,2.2,0.27,1.0,64.0,0.0,3.0,26.0,25.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.02,0.01,0.06,0.0,0.0,0.0,8.7,0.031,0.073,0.665,0.334,0.367,20.0,0.0,9.8,0.0,0.0,0.5,0.0,20.0,20.0,0.1,0.009,0.028,0.028,0.068,0.05,0.008,0.009,0.049,0.009,0.047,0.049,0.077,0.04,0.124,0.152,0.038,0.028,0.04,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.001,0.002,0.002,0.102,0.005,0.0,0.022,0.046,0.027,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.032,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Barley flour,169739,0.1462988765233955,10.5,1.6,74.52,1.28,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.11,0.0,0.0,0.8,0.0,10.1,32.0,2.68,96.0,296.0,309.0,4.0,2.0,0.343,0.0,1.034,37.7,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.114,6.269,0.145,0.396,8.0,0.0,37.8,0.0,0.0,2.2,0.0,8.0,8.0,65.5,0.175,0.356,0.383,0.713,0.391,0.202,0.232,0.589,0.301,0.515,0.526,0.236,0.409,0.655,2.741,0.38,1.247,0.443,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.0,0.0,0.0,0.004,0.008,0.286,0.012,0.0,0.168,0.695,0.077,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Beef,168608,1.3227746521102666,19.42,12.73,0.0,1.71,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.13,0.0,0.0,0.0,0.0,0.0,12.0,1.99,19.0,175.0,289.0,68.0,4.55,0.063,0.0,0.01,14.2,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.154,4.818,0.576,0.355,6.0,1.97,67.4,0.0,0.0,1.1,0.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.751,5.335,0.0,0.0,0.001,0.005,0.009,0.345,2.747,1.98,0.019,4.363,0.426,0.071,0.012,0.0,0.003,0.074,0.347,0.002,0.015,0.001,0.0,0.016,0.0,0.0,0.0,0.0,4.8,0.532,0.078,0.147,0.0,0.0,0.615,0.0,0.136,0.0,0.109,0.0,0.001,0.0,3.748,0.181,0.0,0.0,0.0,0.001,0.615,0.136,0.0,0.002,0.071,0.0,0.0,0.0,0.0,0.0
10,Beef Liver,169451,0.33069366302756664,20.36,3.63,3.89,1.31,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.81,0.0,0.0,0.0,0.0,0.0,5.0,4.9,18.0,387.0,313.0,69.0,4.0,9.755,0.0,0.31,39.7,16898.0,4948.0,4968.0,232.0,11.0,0.38,49.0,0.0,1.2,1.2,13.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.3,0.189,2.755,13.175,7.173,1.083,290.0,59.3,333.3,0.0,0.0,3.1,0.0,290.0,290.0,4.4,0.263,0.869,0.967,1.91,1.607,0.543,0.376,1.084,0.807,1.26,1.241,0.629,1.164,1.927,2.612,1.164,0.961,0.905,0.046,0.0,0.0,275.0,0.17,1.233,0.0,0.0,0.0,0.0,0.0,0.015,0.312,0.862,0.0,0.423,0.299,0.016,0.141,0.0,0.009,0.0,0.036,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.465,0.007,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.299,0.0,0.009,0.013,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0
11,Black Beans,173734,0.2920025044533413,21.6,1.42,62.36,3.6,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,2.12,0.0,15.5,123.0,5.02,171.0,352.0,1483.0,5.0,3.65,0.841,0.0,1.06,3.2,17.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.193,1.955,0.899,0.286,444.0,0.0,66.4,0.0,0.0,5.6,0.0,444.0,444.0,0.0,0.256,0.909,0.954,1.725,1.483,0.325,0.235,1.168,0.608,1.13,1.337,0.601,0.905,2.613,3.294,0.843,0.916,1.175,0.0,0.0,0.0,0.0,0.0,0.366,0.0,0.0,0.0,0.0,0.0,0.001,0.343,0.022,0.0,0.123,0.332,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Blueberries,171711,0.5805510973150615,0.74,0.33,14.49,0.24,57.0,0.03,0.11,4.88,4.97,0.0,0.0,0.0,84.21,0.0,0.0,9.96,0.0,2.4,6.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.0,0.336,0.1,54.0,0.0,3.0,32.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.01,0.36,0.03,0.0,0.0,0.07,0.0,9.7,0.037,0.041,0.418,0.124,0.052,6.0,0.0,6.0,0.0,0.0,19.3,0.0,6.0,6.0,0.2,0.003,0.02,0.023,0.044,0.013,0.012,0.008,0.026,0.009,0.031,0.037,0.011,0.031,0.057,0.091,0.031,0.028,0.022,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.005,0.0,0.047,0.088,0.058,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bok Choy,170390,0.33069366302756664,1.5,0.2,2.18,0.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.32,0.0,0.0,1.18,0.0,1.0,105.0,0.8,19.0,37.0,252.0,65.0,0.19,0.021,0.0,0.159,0.5,4468.0,0.0,223.0,2681.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.04,0.07,0.5,0.088,0.194,66.0,0.0,6.4,0.0,0.0,45.5,0.0,66.0,66.0,0.3,0.015,0.049,0.085,0.088,0.089,0.009,0.017,0.044,0.029,0.066,0.084,0.026,0.086,0.108,0.36,0.043,0.031,0.048,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.001,0.001,0.024,0.001,0.0,0.015,0.042,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Broccoli,170379,0.3791954002716098,2.82,0.37,6.64,0.87,34.0,0.0,0.1,0.49,0.68,0.21,0.21,0.0,89.3,0.0,0.0,1.7,0.0,2.6,47.0,0.73,21.0,66.0,316.0,33.0,0.41,0.049,0.0,0.21,2.5,623.0,0.0,31.0,361.0,25.0,0.78,0.0,0.0,0.0,0.0,1.0,0.0,1403.0,0.01,0.17,0.0,0.04,0.0,0.0,0.0,89.2,0.071,0.117,0.639,0.573,0.175,63.0,0.0,18.7,0.0,0.0,101.6,0.0,63.0,63.0,0.1,0.033,0.088,0.079,0.129,0.135,0.038,0.028,0.117,0.05,0.125,0.191,0.059,0.104,0.325,0.542,0.089,0.11,0.121,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.002,0.084,0.018,0.006,0.029,0.049,0.063,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Brown rice,169704,0.19391876399936508,2.74,0.97,25.58,0.44,123.0,24.79,0.24,0.0,0.0,0.0,0.0,0.0,70.27,0.0,0.0,0.24,0.0,1.6,3.0,0.56,39.0,103.0,86.0,4.0,0.71,0.106,0.0,0.974,5.8,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.13,0.06,0.46,0.0,0.0,0.178,0.069,2.561,0.38,0.123,9.0,0.0,9.2,0.0,0.0,0.2,0.0,9.0,9.0,0.5,0.033,0.095,0.109,0.214,0.099,0.058,0.031,0.133,0.097,0.151,0.196,0.066,0.151,0.242,0.526,0.127,0.121,0.134,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.002,0.015,0.002,0.009,0.198,0.022,0.004,0.365,0.355,0.011,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369,0.366,0.002,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.365,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0
